rank,contact_week,risk_band,licencenumber,businessname,businesstype,localarea,numberofemployees,risk_score
111,12,low,24-149177,Meo Restaurant & Bar Inc,Restaurant,Strathcona,20.0,0.252
112,12,low,24-275175,ANMOL BRAR RESTAURANTS LTD.,Limited Service Food Establishment,Fairview,6.0,0.224
113,12,low,24-241495,GOOD BOY JASPER GROUP INC.,Limited Service Food Establishment,South Cambie,6.0,0.224
114,12,low,24-235558,1457874 BC Ltd,Limited Service Food Establishment,South Cambie,6.0,0.224
115,12,low,24-154012,North-West Seafood Ltd,Wholesale Dealer - Food,Marpole,5.0,0.221
116,12,low,24-288013,CARGO SOLUTIONS LIMITED,Wholesale Dealer - Food,Sunset,1.0,0.211
117,12,low,24-153996,Nikka Traders Inc,Wholesale Dealer - Food,Marpole,8.0,0.203
118,12,low,24-286153,Marquess Coffee Ltd.,Wholesale Dealer - Food,West End,1.0,0.194
119,12,low,24-154046,Smartbite Snacks Inc,Wholesale Dealer - Food,Mount Pleasant,2.0,0.188
120,12,low,24-154111,Waterman's Online Club INC,Wholesale Dealer - Food,Renfrew-Collingwood,2.0,0.187
121,13,low,24-154112,Asiana Trading Ltd,Wholesale Dealer - Food,Downtown,2.0,0.182
122,13,low,24-154090,AFIC Exim (Canada) Corp,Wholesale Dealer - Food,Downtown,2.0,0.182
123,13,low,24-154024,CMR Trading BC Ltd,Wholesale Dealer - Food,Renfrew-Collingwood,1.0,0.181
124,13,low,24-153971,Qi Botanical Tea (Canada) Ltd,Wholesale Dealer - Food,Marpole,15.0,0.179
125,13,low,24-153972,Kitskitchen Health Foods Inc,Wholesale Dealer - Food,Mount Pleasant,1.0,0.177
126,13,low,24-154070,Kenwest Produce Ltd,Wholesale Dealer - Food,Downtown,1.0,0.168
127,13,low,24-154074,Exotic Orchard Produce Ltd,Wholesale Dealer - Food,Grandview-Woodland,0.0,0.159
128,13,low,24-252728,EAST VANCOUVER INTERNATIONAL TRADING CO. LIMITED,Wholesale Dealer - Food,Hastings-Sunrise,1.0,0.159
129,13,low,24-262402,(Echlin Wright),Wholesale Dealer - Food,Kensington-Cedar Cottage,1.0,0.156
130,13,low,24-154052,Naked Coconuts Inc,Wholesale Dealer - Food,Kensington-Cedar Cottage,1.0,0.156
131,14,low,24-154068,Young Quach Asian Foods Ltd,Wholesale Dealer - Food,Sunset,8.0,0.148
132,14,low,24-154129,Healthy Hippo Naturals Inc,Wholesale Dealer - Food,West End,3.0,0.146
133,14,low,24-154080,Domenica Fiore Corporation,Wholesale Dealer - Food,Downtown,3.0,0.141
134,14,low,24-154085,Coldfish Seafoods Company Inc,Wholesale Dealer - Food,Victoria-Fraserview,11.0,0.139
135,14,low,24-154045,Super Harvest Trading Ltd,Wholesale Dealer - Food,Renfrew-Collingwood,3.0,0.134
136,14,low,24-161010,TallGrass Natural Health Ltd,Wholesale Dealer - Food,Fairview,35.0,0.131
137,14,low,24-154005,Glico Canada Corp,Wholesale Dealer - Food,Downtown,6.0,0.129
138,14,low,24-154036,Organic Ocean Seafood Inc,Wholesale Dealer - Food,Kitsilano,17.0,0.123
139,14,low,24-154093,Lyft Commodity Trading Ltd,Wholesale Dealer - Food,Downtown,16.0,0.122
140,14,low,24-153986,Yick Sun Trading (Vancouver) Co Ltd,Wholesale Dealer - Food,Sunset,10.0,0.121
141,15,low,24-154055,New World Imports Ltd,Wholesale Dealer - Food,Sunset,18.0,0.112
142,15,low,24-154133,Ultimate Cup of Coffee Ltd,Wholesale Dealer - Food,Hastings-Sunrise,4.0,0.108
143,15,low,24-154030,Acme Import & Export Ltd,Wholesale Dealer - Food,Kerrisdale,1955.0,0.106
144,15,low,24-153974,Waterman's Marketing Inc,Wholesale Dealer - Food,Renfrew-Collingwood,10.0,0.099
145,15,low,24-153980,Tak-Fung Trading Inc,Wholesale Dealer - Food,Strathcona,2.0,0.099
146,15,low,24-185954,Lekiu Distributors Ltd,Wholesale Dealer - Food,Sunset,30.0,0.096
147,15,low,24-154009,Chung Hing Co Ltd,Wholesale Dealer - Food,Sunset,20.0,0.093
148,15,low,24-153987,(Franca Berardi),Wholesale Dealer - Food,Grandview-Woodland,16.0,0.085
149,15,low,24-154003,Winken Trading Corp,Wholesale Dealer - Food,Grandview-Woodland,10.0,0.082
150,15,low,24-154010,Kim Chau Delicatessen Ltd,Wholesale Dealer - Food,Kensington-Cedar Cottage,19.0,0.066
151,16,low,24-154048,Westport Distribution Inc,Wholesale Dealer - Food,Grandview-Woodland,20.0,0.059
152,16,low,24-153990,JJ Bean Inc,Wholesale Dealer - Food,Grandview-Woodland,25.0,0.058
153,16,low,24-154228,A Bosa & Co Ltd,Wholesale Dealer - Food,Hastings-Sunrise,89.0,0.056
154,16,low,24-154038,Waisee Trading Co Ltd,Wholesale Dealer - Food,Strathcona,8.0,0.053
155,16,low,24-153982,Benny Foods Ltd,Wholesale Dealer - Food,Strathcona,4.0,0.051
156,16,low,24-154013,Pacin Enterprises Inc,Wholesale Dealer - Food,Strathcona,9.0,0.05
157,16,low,24-154008,Hallmark Poultry Processors Ltd,Wholesale Dealer - Food,Grandview-Woodland,500.0,0.049
158,16,low,24-154115,1061563 BC Ltd,Wholesale Dealer - Food,Strathcona,15.0,0.04
159,16,low,24-153993,Macdonald Poultry & Meat Supplies Ltd,Wholesale Dealer - Food,Strathcona,10.0,0.037
160,16,low,24-154004,Yamato Trading Co Ltd,Wholesale Dealer - Food,Strathcona,11.0,0.036
161,17,low,24-153991,Jim M Koo Produce Ltd,Wholesale Dealer - Food,Strathcona,35.0,0.034
162,17,low,24-154022,Double Happiness Foods (2007) Ltd,Wholesale Dealer - Food,Strathcona,30.0,0.031
163,17,low,24-153983,Can-Am Produce & Trading Ltd,Wholesale Dealer - Food,Strathcona,27.0,0.029
164,17,low,24-153977,607920 BC Ltd,Wholesale Dealer - Food,Strathcona,50.0,0.025
165,17,low,24-154042,Sysco Fine Meats Vancouver Inc,Wholesale Dealer - Food,Strathcona,60.0,0.025
166,17,low,24-154000,Terminal Fruit & Produce Ltd,Wholesale Dealer - Food,Strathcona,95.0,0.025
167,17,low,24-154031,Fresh Direct Produce Ltd,Wholesale Dealer - Food,Strathcona,100.0,0.025
168,17,low,24-153985,480412 B C Ltd,Wholesale Dealer - Food,Strathcona,85.0,0.025
